batch,sim_id,rank_in_r0,rho_r0,rank_in_migidx,rho_migidx,rank_in_pop,rho_pop
batch_0,90,2,0.1398601398601399,1,0.7272727272727274,7,0.34965034965034975
batch_0,91,8,0.0979020979020979,1,0.7412587412587414,3,0.7832167832167832
batch_0,92,10,0.027972027972027972,3,0.8741258741258742,1,0.5384615384615385
batch_0,93,3,0.3216783216783217,2,0.49650349650349657,11,0.39860139860139865
batch_0,94,10,-0.6013986013986015,1,0.9090909090909092,5,0.6993006993006995
batch_0,95,1,0.10489510489510491,1,0.8461538461538463,6,-0.3846153846153847
batch_0,96,11,0.10489510489510491,1,0.7482517482517484,1,0.8041958041958043
batch_0,97,1,0.30069930069930073,1,0.8111888111888113,2,0.7132867132867133
batch_0,98,10,-0.5594405594405596,4,0.7412587412587414,2,0.3916083916083916
batch_0,99,1,-0.11188811188811189,1,0.8111888111888113,7,0.7762237762237763
batch_0,9,6,-0.04195804195804196,2,0.7692307692307694,2,0.23076923076923078
batch_1,0,2,-0.18881118881118883,1,0.7132867132867133,6,0.6293706293706295
batch_1,100,6,0.4055944055944056,1,0.7132867132867133,1,0.7412587412587414
batch_1,101,9,0.5524475524475525,2,0.7132867132867133,1,0.2517482517482518
batch_1,102,6,0.013986013986013986,1,0.7342657342657343,4,0.2797202797202798
batch_1,103,7,0.3216783216783217,1,0.8321678321678322,2,0.5734265734265735
batch_1,104,9,0.2377622377622378,1,0.8531468531468532,2,0.9160839160839163
batch_1,105,4,0.3216783216783217,2,0.6153846153846154,1,0.7622377622377624
batch_1,106,6,0.27272727272727276,1,0.7412587412587414,4,0.34965034965034975
batch_1,107,1,0.6503496503496504,5,0.43356643356643365,1,0.7622377622377624
batch_1,108,1,-0.013986013986013986,2,0.6993006993006995,2,0.5314685314685316
batch_1,109,3,0.2377622377622378,1,0.7972027972027973,4,0.5944055944055945
batch_1,10,5,-0.4545454545454546,5,0.4755244755244756,2,0.6783216783216784
batch_1,110,3,-0.3636363636363637,1,0.7762237762237763,7,0.3916083916083916
batch_1,111,1,0.7482517482517484,6,0.5314685314685316,5,0.4265734265734266
batch_1,112,3,-0.0979020979020979,3,0.3846153846153847,4,0.6783216783216784
batch_1,113,7,0.6853146853146854,1,0.5034965034965035,3,0.034965034965034975
batch_1,114,10,0.2027972027972028,6,0.8041958041958043,2,0.5944055944055945
batch_1,115,6,0.5174825174825175,1,0.9160839160839163,4,0.3846153846153847
batch_1,116,1,0.35664335664335667,8,0.6153846153846154,1,0.6503496503496504
batch_1,117,3,0.034965034965034975,1,0.5314685314685316,3,0.4685314685314686
batch_1,118,1,0.3216783216783217,1,0.8461538461538463,7,0.3916083916083916
batch_1,119,2,0.7272727272727274,1,0.3916083916083916,1,0.7552447552447553
batch_1,11,2,-0.006993006993006993,1,0.6923076923076924,2,0.6783216783216784
batch_1,120,3,0.7902097902097903,1,0.5664335664335665,6,0.15384615384615385
batch_1,121,3,0.7202797202797203,5,0.4895104895104896,1,0.7762237762237763
batch_1,122,11,0.2027972027972028,1,0.7552447552447553,9,0.22377622377622378
batch_1,123,4,-0.4755244755244756,3,0.8321678321678322,2,0.6223776223776225
batch_1,124,2,0.8811188811188813,5,0.006993006993006993,6,-0.0979020979020979
batch_1,125,5,0.4685314685314686,1,0.5244755244755246,5,0.5314685314685316
batch_1,126,5,0.04195804195804196,7,0.3706293706293707,1,0.6293706293706295
batch_1,127,4,0.10489510489510491,5,0.37762237762237766,3,0.7132867132867133
batch_1,128,4,0.3356643356643357,7,0.6993006993006995,1,0.30069930069930073
batch_1,129,2,0.1328671328671329,1,0.49650349650349657,3,0.7692307692307694
batch_1,12,10,-0.055944055944055944,1,0.6083916083916086,5,0.7342657342657343
batch_1,130,1,0.32867132867132864,4,0.8251748251748254,2,0.43356643356643365
batch_1,131,8,0.055944055944055944,3,0.6923076923076924,2,0.41958041958041964
batch_1,132,11,-0.4265734265734266,1,0.5664335664335665,1,0.7902097902097903
batch_1,133,2,0.6083916083916086,8,0.0979020979020979,4,0.4125874125874127
batch_1,134,4,0.21678321678321683,1,0.8321678321678322,1,0.7972027972027973
batch_1,135,10,-0.18881118881118883,1,0.7062937062937064,9,0.10489510489510491
batch_1,136,5,0.2027972027972028,4,0.34965034965034975,1,0.8041958041958043
batch_1,137,5,-0.4055944055944056,1,0.6293706293706295,3,0.8741258741258742
batch_1,138,5,0.14685314685314685,4,0.7482517482517484,1,0.7132867132867133
batch_1,139,7,-0.11188811188811189,1,0.7482517482517484,4,0.6993006993006995
batch_1,13,7,0.16083916083916086,1,0.8391608391608393,1,0.7972027972027973
batch_1,140,3,0.3426573426573427,2,0.5314685314685316,1,0.6013986013986015
batch_1,141,7,0.7062937062937064,1,0.6853146853146854,3,0.5384615384615385
batch_1,142,9,-0.07692307692307693,1,0.8811188811188813,5,0.5314685314685316
batch_1,143,6,-0.2027972027972028,3,0.5944055944055945,3,0.6503496503496504
batch_1,144,6,-0.1188811188811189,1,0.7692307692307694,5,0.6293706293706295
batch_1,145,2,0.22377622377622378,1,0.9160839160839163,6,0.5664335664335665
batch_1,146,1,0.6083916083916086,1,0.37762237762237766,7,0.6153846153846154
batch_1,147,8,0.25874125874125875,2,0.7202797202797203,8,0.2937062937062937
batch_1,148,3,0.6643356643356644,1,0.5664335664335665,1,0.3706293706293707
batch_1,149,2,0.4685314685314686,1,0.5034965034965035,8,0.4825174825174825
batch_1,14,9,0.30069930069930073,3,0.6923076923076924,1,0.7552447552447553
batch_1,150,8,-0.44055944055944063,4,0.6293706293706295,2,0.4685314685314686
batch_1,151,6,-0.1258741258741259,2,0.8741258741258742,1,0.7692307692307694
batch_1,152,2,0.2377622377622378,2,0.8881118881118882,5,0.5734265734265735
batch_1,153,9,0.2797202797202798,1,0.6153846153846154,5,0.8391608391608393
batch_1,154,4,0.3636363636363637,2,0.6713286713286714,7,0.17482517482517487
batch_1,155,2,0.7412587412587414,2,0.4825174825174825,9,0.1188811188811189
batch_1,156,1,0.8951048951048951,5,0.0979020979020979,11,-0.3356643356643357
batch_1,157,4,-0.027972027972027972,4,0.7972027972027973,1,0.4895104895104896
batch_1,158,6,0.18881118881118883,3,0.7622377622377624,2,0.43356643356643365
batch_1,159,6,0.6713286713286714,4,-0.04195804195804196,6,0.04195804195804196
batch_1,15,5,-0.4055944055944056,4,0.9020979020979022,1,0.5314685314685316
batch_1,160,11,-0.4055944055944056,2,0.6853146853146854,1,0.8811188811188813
